Epoch,Overall_Loss
0,4.478674000000001
1,4.297488
2,4.338986
3,4.2945459999999995
4,4.273666
5,4.338794
6,4.4075999999999995
7,4.236824
8,4.013974
9,4.223436
10,4.231526
11,4.401086000000001
12,4.3082
13,4.134836
14,4.40278
15,4.16523
16,4.439976
17,4.175058
18,4.192842
19,4.439366
20,4.327964
21,4.313992
22,4.217676
23,4.368966
24,4.383125999999999
25,4.4954220000000005
26,4.397196000000001
27,4.232742
28,4.397206000000001
29,4.119712
30,4.368612
31,4.313754
32,4.413838
33,4.368368
34,4.493262
35,4.412448
36,4.341416
37,4.3971219999999995
38,4.36778
39,4.285202000000001
40,4.411061999999999
41,4.286178
42,4.311022
43,4.422428
44,4.340248
45,4.383714
46,4.326824
47,4.383348
48,4.298990000000001
49,4.507812
